LSOA11CD,LAD11NM,PTAL Score,lsoademographics_White,lsoademographics_Mixed/multiple ethnic groups,lsoademographics_Asian/Asian British,lsoademographics_Black/African/Caribbean/Black British,lsoademographics_Other ethnic group,lsoademographics_BAME,lsoademographics_White (%),lsoademographics_Mixed/multiple ethnic groups (%),lsoademographics_Asian/Asian British (%),lsoademographics_Black/African/Caribbean/Black British (%),lsoademographics_Other ethnic group (%),lsoademographics_BAME (%),lsoademographics_United Kingdom,lsoademographics_Not United Kingdom,lsoademographics_% United Kingdom,lsoademographics_% Not United Kingdom,lsoademographics_Households with at least one person aged 16 or over with English as a main language,lsoademographics_Households where no people aged 16 or over have English as a main language,lsoademographics_% of households with at least one person aged 16 or over with English as a main language,lsoademographics_% of households where no people aged 16 or over have English as a main language,lsoademographics_Christian,lsoademographics_Buddhist,lsoademographics_Hindu,lsoademographics_Jewish,lsoademographics_Muslim,lsoademographics_Sikh,lsoademographics_Other religion,lsoademographics_No religion,lsoademographics_Religion not stated,lsoademographics_Christian (%),lsoademographics_Buddhist (%),lsoademographics_Hindu (%),lsoademographics_Jewish (%),lsoademographics_Muslim (%),lsoademographics_Sikh (%),lsoademographics_Other religion (%),lsoademographics_No religion (%),lsoademographics_Religion not stated (%),IMD only_LSOA name (2011),IMD only_Index of Multiple Deprivation (IMD) Score,IMD only_Income Score (rate),IMD only_Employment Score (rate),"IMD only_Education, Skills and Training Score",IMD only_Health Deprivation and Disability Score,IMD only_Crime Score,IMD only_Barriers to Housing and Services Score,IMD only_Living Environment Score,lsoahouseprices_House Prices;Median Price;2014,Mean and Median Incomes_2012/13mean,Mean and Median Incomes_2012/13median,lsoaages_All Ages,lsoaages_0-15,lsoaages_16-29,lsoaages_30-44,lsoaages_45-64,lsoaages_65+,lsoaages_Working-age
E01003639,Redbridge,5.35247,805,75,671,150,57,953,45.8,4.3,38.2,8.5,3.2,54.2,1136,622,64.6,35.4,548,117,82.4,17.6,667,5,264,92,302,79,8,229,112,37.9,0.3,15,5.2,17.2,4.5,0.5,13,6.4,Redbridge 013A,20.3,0.1,0.1,12.8,-0.3,0.4,34.1,20.9,247500,44180,35920,1758,388,344,419,359,248,1122
E01003640,Redbridge,0.891551,804,78,658,178,53,967,45.4,4.4,37.2,10.1,3,54.6,1223,548,69.1,30.9,563,85,86.9,13.1,716,4,280,77,298,70,11,177,138,40.4,0.2,15.8,4.3,16.8,4,0.6,10,7.8,Redbridge 013B,17.8,0.1,0.1,11.5,-0.8,0.8,32.5,29.4,300000,47070,38150,1771,410,333,410,401,217,1144
E01003641,Redbridge,6.08104,522,57,889,176,60,1182,30.6,3.3,52.2,10.3,3.5,69.4,997,707,58.5,41.5,432,98,81.5,18.5,575,11,368,51,339,127,17,105,111,33.7,0.6,21.6,3,19.9,7.5,1,6.2,6.5,Redbridge 013C,14.3,0.1,0.1,9.4,-0.9,0.1,23.9,23.1,310000,47420,38410,1704,401,354,391,396,162,1141
E01003642,Redbridge,5.41646,626,85,769,176,39,1069,36.9,5,45.4,10.4,2.3,63.1,1015,680,59.9,40.1,447,95,82.5,17.5,640,4,385,71,296,57,7,125,110,37.8,0.2,22.7,4.2,17.5,3.4,0.4,7.4,6.5,Redbridge 013D,16.5,0.1,0.1,10.5,-0.8,0.1,27.9,20.7,325000,44510,36180,1695,434,305,379,380,197,1064
E01003643,Redbridge,5.96298,750,52,880,99,52,1083,40.9,2.8,48,5.4,2.8,59.1,1134,699,61.9,38.1,512,110,82.3,17.7,636,22,414,131,270,127,4,110,119,34.7,1.2,22.6,7.1,14.7,6.9,0.2,6,6.5,Redbridge 017B,11.3,0.1,0.1,7.1,-0.7,0.2,24,24.1,353000,47100,38160,1833,417,314,387,411,304,1112
E01003644,Redbridge,6.94914,456,45,920,100,41,1106,29.2,2.9,58.9,6.4,2.6,70.8,922,640,59,41,401,97,80.5,19.5,395,15,369,103,372,124,6,88,90,25.3,1,23.6,6.6,23.8,7.9,0.4,5.6,5.8,Redbridge 017C,12.6,0.1,0.1,9.3,-1.3,0.1,27.4,17.7,350000,48060,38890,1562,350,301,331,380,200,1012
E01003645,Redbridge,11.253,844,132,1347,204,83,1766,32.3,5.1,51.6,7.8,3.2,67.7,1399,1211,53.6,46.4,686,224,75.4,24.6,860,27,681,114,450,72,5,223,178,33,1,26.1,4.4,17.2,2.8,0.2,8.5,6.8,Redbridge 017D,19.4,0.1,0.1,8.7,0.1,0.2,29.6,47.8,245000,47720,38630,2610,642,528,775,441,224,1744
E01003646,Redbridge,13.3475,485,85,990,138,51,1264,27.7,4.9,56.6,7.9,2.9,72.3,937,812,53.6,46.4,451,121,78.8,21.2,377,4,380,136,500,77,7,115,153,21.6,0.2,21.7,7.8,28.6,4.4,0.4,6.6,8.7,Redbridge 012A,12.4,0.1,0,7.3,-1.3,0.3,27.4,23.1,335750,46170,37460,1749,358,412,375,363,241,1150
E01003647,Redbridge,12.7746,478,51,1126,98,33,1308,26.8,2.9,63,5.5,1.8,73.2,930,856,52.1,47.9,478,134,78.1,21.9,410,17,518,143,378,114,4,98,104,23,1,29,8,21.2,6.4,0.2,5.5,5.8,Redbridge 015A,13.5,0.1,0.1,6.5,-1.2,0.7,26.1,25.6,365000,49390,39870,1786,364,422,399,370,231,1191
E01003648,Redbridge,5.11642,812,35,514,44,32,625,56.5,2.4,35.8,3.1,2.2,43.5,1069,368,74.4,25.6,499,29,94.5,5.5,470,13,151,269,269,68,8,79,110,32.7,0.9,10.5,18.7,18.7,4.7,0.6,5.5,7.7,Redbridge 012B,7.6,0.1,0,7.3,-0.8,-0.3,17.2,17.8,425000,52520,42150,1437,223,267,243,402,302,912
